"id_syn","num","title","idDico"
"3562","336","profondément","30"
"3563","337","des conglomérats","30"
"3564","338","des foultitudes","30"
"3565","339","quantité","30"
"3566","340","bien","30"
"3567","341","convenablement","30"
"3568","342","correctement","30"
"3569","343","facilement","30"
"3570","344","normalement","30"
"3571","345","bizarrement","30"
"3572","346","curieusement","30"
"3574","347","étrangement","30"
"3575","348","paradoxalement","30"
"3577","349","apparemment","30"
"3578","350","certainement","30"
"3579","351","évidemment","30"
"3580","352","sans-doute","30"
"3581","353","sûrement","30"
"3582","354","vraisemblablement","30"
"3583","355","complètement","30"
"3584","356","totalement","30"
"3585","357","tout à fait","30"
"3586","358","ergo","30"
"3587","359","par conséquent","30"
"3588","360","en vain","30"
"3589","361","inutilement","30"
"3590","362","vainement","30"
"3591","363","ensemble","30"
"3592","364","tous ensemble","30"
"3593","365","exactement","30"
"3594","366","précisément","30"
"3595","367","d'habitude","30"
"3596","368","fréquemment","30"
"3598","369","habituellement","30"
"3599","370","le plus souvent","30"
"3600","371","fortuitement","30"
"3601","372","attentivement","30"
"3602","373","longuement","30"
"3603","374","patiemment","30"
"3604","375","douze","30"
"3609","376","treize","30"
"3610","377","de temps en temps","30"
"3611","378","par intermittences","30"
"3612","379","par intervalles","30"
"3613","380","par moments","30"
"3614","381","approximativement","30"
"3615","382","quasiment","30"
"3616","383","vaguement","30"
"3619","384","continuellement","30"
"3620","385","continuement","30"
"3621","386","indéfiniment","30"
"3622","387","inépuisablement","30"
"3623","388","intarissablement","30"
"3624","389","perpétuellement","30"
"3625","390","excepté","30"
"3626","391","mis à part","30"
"3628","392","avec attention","30"
"3629","393","avec minutie","30"
"3630","394","avec soin","30"
"3631","395","méthodiquement","30"
"3632","396","méticuleusement","30"
"3633","397","minutieusement","30"
"3634","398","scrupuleusement","30"
"3635","399","soigneusement","30"
"3636","400","abruptement","30"
"3637","401","brusquement","30"
"3638","402","brutalement","30"
"3639","403","soudainement","30"
"3640","404","tout à coup","30"
"3641","405","tout d'un coup","30"
"3643","406","communément","30"
"3644","407","la plupart du temps","30"
"3646","408","particulièrement","30"
"3647","409","spécialement","30"
"3649","410","constamment","30"
"3650","411","éternellement","30"
"3651","412","sans arrêt","30"
"3653","413","des siècles","30"
"3654","414","entièrement","30"
"3655","415","intégralement","30"
"3657","416","remarquablement","30"
"3658","417","étonnamment","30"
"3659","418","horriblement","30"
"3660","419","légèrement","30"
"3661","420","médiocrement","30"
"3662","421","modérément","30"
"3663","422","moyennement","30"
"3664","423","sans exagération","30"
"3665","424","un petit peu","30"
"3666","425","un peu","30"
"3667","426","un tant soit peu","30"
"3668","427","à l'instant","30"
"3670","428","hâtivement","30"
"3671","429","précipitamment","30"
"3672","430","promptement","30"
"3673","431","rapidement","30"
"3674","432","sans tarder","30"
"3676","433","décidément","30"
"3677","434","effectivement","30"
"3678","435","réellement","30"
"4213","436","marre","30"
"4216","437","malgré tout","30"
"4217","438","tout de même","30"
"4218","439","maintes fois","30"
"4219","440","solo","30"
"4220","441","également","30"
"4221","442","bonjour","30"
"4224","443","récemment","30"
"4225","444","1988","30"
"4234","445","follement","30"
"4235","3","éperdument","30"
"4236","447","épisodiquement","30"
"4237","448","périodiquement","30"
"4238","216","alentour","27"
"4239","450","depuis toujours","30"
"4240","8","uniquement","30"
"4241","9","exclusivement","30"
"4242","453","purement","30"
"4243","454","simplement","30"
"4245","455","six","30"
"4246","456","très souvent","30"
"4247","457","trop souvent","30"
"4248","458","sept","30"
"4249","459",".","30"
"4276","460","quatorze","30"
"4277","461","quatre","30"
"4278","462","quinze","30"
"4285","463","ainsi","30"
"4286","464","définitivement","30"
"4287","465","durablement","30"
"4288","466","inéluctablement","30"
"4289","467","irrévocablement","30"
"4290","468","irréversiblement","30"
"4291","31","surtout","30"
"4292","469","essentiellement","30"
"4293","470","avant tout","30"
"4294","471","principalement","30"
"4295","472","généralement","30"
"4296","473","auto","30"
"4297","474",".","30"
"4298","475","machinalement","30"
"4299","476","instinctivement","30"
"4300","477","involontairement","30"
"4301","478","mécaniquement","30"
"4302","479","1","30"
"4303","480","2","30"
"4304","481","0","30"
"4305","482","3","30"
"4306","483","4","30"
"4307","484","5","30"
"4308","485","6","30"
"4309","486","7","30"
"4310","487","8","30"
"4311","488","9","30"
"4312","489","subitement","30"
