id,title,idSyn,label,action
4300,involontairement,477,Syntagme,update
4301,mécaniquement,478,Syntagme,update
4302,1,479,Syntagme,update
4303,2,480,Syntagme,update
4304,0,481,Syntagme,update
4305,3,482,Syntagme,update
4306,4,483,Syntagme,update
4307,5,484,Syntagme,update
4308,6,485,Syntagme,update
4309,7,486,Syntagme,update
4310,8,487,Syntagme,update
4311,9,488,Syntagme,update
4312,subitement,489,Syntagme,update
4313,gaîment,490,Syntagme,update
4314,joyeusement,491,Syntagme,update
4315,jovialement,492,Syntagme,update
4316,allègrement,493,Syntagme,update
4317,incessamment,494,Syntagme,update
4319,mollement,495,Syntagme,update
4320,doucement,496,Syntagme,update
4321,délicatement,497,Syntagme,update
4322,délicieusement,498,Syntagme,update
4323,paisiblement,499,Syntagme,update
4324,furtivement,500,Syntagme,update
4325,en grande partie,501,Syntagme,update
4326,plus tard,502,Syntagme,update
4327,le lendemain,503,Syntagme,update
4328,[32|a_autre@m_jour 1],504,Syntagme,update
4329,nullement,505,Syntagme,update
4330,pas,506,Syntagme,update
4331,pas du tout,507,Syntagme,update
4333,autrefois,508,Syntagme,update
4336,soudain,509,Syntagme,update
4337,.,510,Syntagme,update
4338,?,511,Syntagme,update
4339,instantanément,512,Syntagme,update
4340,sur le champ,513,Syntagme,update
4341,tout de suite,514,Syntagme,update
4342,à la minute même,515,Syntagme,update
4344,ailleurs,516,Syntagme,update
3225,naguère,517,Syntagme,update
