painter,painterLabel,exhibition_count,exhibitions
http://www.wikidata.org/entity/Q39931,Pierre-Auguste Renoir,63,"Museum of Fine Arts Boston, Metropolitan Museum of Art, Museum of Modern Art, 1939 New York World's Fair, Beaux-Arts de Paris, Baltimore Museum of Art, National Gallery of Art, Art Institute of Chicago, Paul Durand-Ruel, Palais de Beaulieu, Musée de l'Orangerie, Tate, Philadelphia Museum of Art, Paul Rosenberg, Salon d'Automne, Hayward Gallery, Stedelijk Museum Amsterdam, National Gallery of Canada, Yale University Art Gallery, Salon of 1868, 1st impressionist exhibition, Salon of 1879, Salon of 1890, Duveen Galleries, Fort Worth Community Arts Center, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Los Angeles County Museum of Art, Kimbell Art Museum, Toledo Museum of Art, New Orleans Museum of Art, Legion of Honor, Galeries nationales du Grand Palais, Century Association, Wildenstein & Company Building, M. Knoedler & Co., 3rd impressionist exhibition, Renoir, Bignou Gallery, 2nd impressionist exhibition, Apollinaire critique d'art, Monet Collector, Mästerverk i Nationalmusei samlingar, Kyoto National Museum, galerie Durand-Ruel, Salon of 1865, Lisbon, Thyssen-Bornemisza Museum, Tokyo Metropolitan Art Museum, Scottish National Gallery, National Museum of Art, Osaka, National Art Center, Tokyo, Kyoto Municipal Museum of Art, The Dance of Life – The collection from antiquity to 1950, Art 3. Works from the collection 1814-1950, Miro, Monet, Matisse - The Nahmad Collection, Private Collections: A Journey of the Impressionists to the Wild Animals, Trésors impressionnistes, The Impressionists in private, From Cranach to Monet. Highlights of the Perez Simon Collection, “Impressionisti Segreti” in Palazzo Bonaparte, Salon of 1880, A Very Private Collection: Janice H. Levin's Impressionist Pictures, In Colour: Polychrome Sculpture in France 1850-1910"
http://www.wikidata.org/entity/Q34013,Georges Seurat,5,"8th impressionist exhibition, Private Collections: A Journey of the Impressionists to the Wild Animals, Félix Fénéon, Seurat, Seurat Paintings and Drawings"
http://www.wikidata.org/entity/Q295144,Gustave Caillebotte,12,"“Impressionisti Segreti” in Palazzo Bonaparte, 4th impressionist exhibition, 2nd impressionist exhibition, 5th impressionist exhibition, Museum Barberini, Private Collections: A Journey of the Impressionists to the Wild Animals, Monet Collector, The Impressionists in private, 3rd impressionist exhibition, Art Institute of Chicago, Galeries nationales du Grand Palais, Impressionist exhibition"
http://www.wikidata.org/entity/Q472237,Nikolaos Gyzis,1,Europeana 280
http://www.wikidata.org/entity/Q346483,Maurice Galbraith Cullen,3,"Canadian War Memorials Exhibition, Burlington House, 1919, Canadian War Memorials Exhibition, 1920, Canadian War Memorials Exhibition, New York, 1919"
http://www.wikidata.org/entity/Q1837855,Darío de Regoyos,1,Vestigis del modernisme. Interioritats quotidianes
http://www.wikidata.org/entity/Q2693890,Laura Knight,2,"Canadian War Memorials Exhibition, Burlington House, 1919, Canadian War Memorials Exhibition, New York, 1919"
http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,2,"Europeana 280, Salon of 1895"
http://www.wikidata.org/entity/Q173223,Mary Cassatt,6,"4th impressionist exhibition, 5th impressionist exhibition, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Exposition de Tableaux, Pastels et Gravures de Mary Cassatt, The Impressionists in private, Mary Cassatt: Modern Woman"
http://www.wikidata.org/entity/Q177978,Henri-Jean Guillaume Martin,2,"Salon of 1899, Salon of 1895"
