"id_concept","id_dico","lib","type","id_sub","sEli","sPre","genre","s","p","id_adj","aEli","aPre","m_s","f_s","m_p","f_p","id_verbe","id_conj","vEli","vPre","id_gen","valeur","id_syn","num","ordre","syLib"
"166702","34","modérer","v",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"31050","838","0","mod",NULL,NULL,NULL,NULL,NULL,NULL
"166703","34","imposé","a",NULL,NULL,NULL,NULL,NULL,NULL,"59004","1","imposé",,"e","s","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166704","34","épiderme","m","144163","1","épiderme","1",,"s",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166705","34","montage","m","144164","0","montage","1",,"s",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166706","34","martyre","m","144165","0","martyre","1",,"s",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40978","[a_absolu]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40979","[a_insoutenable]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40982","[a_extrême]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40994","[a_affreux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40995","[a_atroce]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40996","[a_effrayant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40997","[a_horrible]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"40998","[a_terrible]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41004","[a_hostile]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41006","[a_impétueux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41038","[a_fou]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41040","[a_violent]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41137","[a_concret]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41169","[a_constant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41233","[a_pénible]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41283","[a_surprenant]",NULL,NULL,NULL,NULL
